Company,Year,URL,screenshot,email_text
Halifax,2008,https://www.halifax-online.co.uk/_mem_bin/formslogin.asp,halifax_0.png,"Dear Evan Dalton,

Thank you for your purchase! Access your Halifax account to view your receipt.

Thank you,
Halifax Customer Service"
Halifax,2008,https://www.halifax-online.co.uk/_mem_bin/formslogin.asp,halifax_1.png,"Dear Kimberly Myers,

We require you to update your login credentials. Use the link provided below to proceed.

Sincerely,
Halifax Support"
Halifax,2008,https://www.halifax-online.co.uk/_mem_bin/formslogin.asp,halifax_2.png,"Dear Rebecca Mills,

A request to update your email address was received for your Halifax account. Was this you?

Thank you,
Halifax Customer Service

Help & Contact: support@Halifax.com
Security Apps: Download our latest app
Hash: 362155"
Halifax,2008,https://www.halifax-online.co.uk/_mem_bin/formslogin.asp,halifax_3.png,"Dear Jackson Singh,

Your transaction was processed successfully. Log in to your account for more information.

Best regards,
Halifax Security Team"
Halifax,2008,https://www.halifax-online.co.uk/_mem_bin/formslogin.asp,halifax_5.png,"Dear Victoria Miles,

Your monthly invoice from Halifax is ready. Review it in your account portal.

Sincerely,
Halifax Support"
Halifax,2008,https://www.halifax-online.co.uk/_mem_bin/formslogin.asp,halifax_7.png,"Dear Larry Stephens,<br><br>Your Halifax account was accessed from an unknown location. Please confirm your identity to continue.<br><br>Sincerely,<br>Halifax Support"
Halifax,2009,https://www.halifax-online.co.uk/_mem_bin/formslogin.asp,halifax_12.png,"Dear Samuel Riley,

A payment was processed via Halifax at [random location]. Log in to check your account activity.

Thank you,
Halifax Customer Service"
Halifax,2009,https://www.halifax-online.co.uk/_mem_bin/formslogin.asp,halifax_24.png,"Dear Customer,

Your invoice for this month is available in your Halifax account. Log in to review it.

Best regards,
Halifax Security Team"
Halifax,2010,https://www.halifax-online.co.uk/_mem_bin/formslogin.asp,halifax_30.png,"Dear Customer,

We suspect unauthorized access to your Halifax account. Take steps now to secure it.

Best regards,
Halifax Security Team"
Halifax,2010,https://www.halifax-online.co.uk/_mem_bin/formslogin.asp,halifax_33.png,"Dear Ross Park,

Your new Girocard has been issued and will arrive shortly. Please activate it upon receipt.

Best regards,
Halifax Security Team"
Egg,2007,http://your.egg.com:80/customer/yourmoney.aspx,halifax_36.png,"Dear Leslie Fitzpatrick,

Someone attempted to sign into your Egg account. If you recognize this, you can ignore this message. Otherwise, secure your account immediately.

Thank you,
Egg Customer Service

Help & Contact: support@Egg.com
Security Apps: Download our latest app
Hash: 264406"
Egg,2007,http://your.egg.com:80/customer/yourmoney.aspx,halifax_37.png,"Dear Scott Green,

We’re performing scheduled maintenance on Egg services. Update your account details if necessary.

Sincerely,
Egg Support"
Egg,2010,http://your.egg.com:80/customer/yourmoney.aspx,halifax_49.png,"Dear Zachary Brooks,<br><br>A new device logged into your Egg account. Check your activity log to confirm.<br><br>Best regards,<br>Egg Security Team"
LLoyds,2005,https://online.lloydstsb.co.uk/customer.ibc,lloyds_0.png,"Dear Mike Krause,

Your Lloyds account was accessed from an unknown location. Please confirm your identity to continue.

Thank you,
Lloyds Customer Service"
LLoyds,2006,https://online.lloydstsb.co.uk/customer.ibc,lloyds_1.png,"Dear Natalie Mcdonald,

Unusual activity was detected on your Lloyds account. Kindly sign in to check your latest transactions.

Thank you,
Lloyds Customer Service"
LLoyds,2006,https://online.lloydstsb.co.uk/customer.ibc,lloyds_2.png,"Dear Matthew Davis,

We require you to update your login credentials. Use the link provided below to proceed.

Best regards,
Lloyds Security Team"
LLoyds,2007,https://online.lloydstsb.co.uk/customer.ibc,lloyds_3.png,"Dear Customer,

A password reset request was made for your Lloyds account. If this was you, click below to reset your password.

Thank you,
Lloyds Customer Service"
LLoyds,2011,https://online.lloydstsb.co.uk/customer.ibc?WT.ac=hpIBlogon,lloyds_4.png,"Dear Kristi Johnson,

We’ve noticed a large withdrawal from your account. Contact us immediately if this wasn’t you.

Thank you,
Lloyds Customer Service"
LLoyds,2011,https://online.lloydstsb.co.uk/customer.ibc?WT.ac=IBPLO0809,lloyds_5.png,"Dear Customer,

There’s a query regarding your recent transaction. Contact our support team for clarification.

Best regards,
Lloyds Security Team"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_0.png,"Dear Customer,

Check your latest transactions to view your current Hsbc account balance.

Sincerely,
Hsbc Support"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_2.png,"Dear Colin Williams,<br><br>There’s a query regarding your recent transaction. Contact our support team for clarification.<br><br>Best regards,<br>Hsbc Security Team"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_3.png,"Dear Customer,

We suspect unauthorized access to your Hsbc account. Take steps now to secure it.

Best regards,
Hsbc Security Team"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_4.png,"Dear William Spencer,

Someone attempted to sign into your Hsbc account. If you recognize this, you can ignore this message. Otherwise, secure your account immediately.

Sincerely,
Hsbc Support

Help & Contact: support@Hsbc.com
Security Apps: Download our latest app
Hash: 493864"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_5.png,"Dear Deborah Kidd,<br><br>We’ve processed your refund. View the details in your Hsbc account.<br><br>Sincerely,<br>Hsbc Support"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_6.png,"Dear James Griffin,<br><br>Your Hsbc account was accessed from an unknown location. Please confirm your identity to continue.<br><br>Sincerely,<br>Hsbc Support"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_7.png,"Dear Justin Howard,

We’re performing scheduled maintenance on Hsbc services. Update your account details if necessary.

Best regards,
Hsbc Security Team"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_8.png,"Dear Michael Lewis,

We require you to update your login credentials. Use the link provided below to proceed.

Sincerely,
Hsbc Support"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_9.png,"Dear Sandra Jordan,

A payment was processed via Hsbc at [random location]. Log in to check your account activity.

Best regards,
Hsbc Security Team"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_10.png,"Dear Scott Williams,

Multiple failed login attempts have locked your account. Sign in to confirm your identity.

Best regards,
Hsbc Security Team"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_11.png,"Dear Elizabeth Warner,

A new device logged into your Hsbc account. Check your activity log to confirm.

Best regards,
Hsbc Security Team"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_14.png,"Dear Michael Miller,

Your account information needs to be updated. Click the link below to update your login credentials.

Thank you,
Hsbc Customer Service"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_15.png,"Dear Kevin Whitehead,

An email update request was submitted for your Hsbc account. Confirm if this was you.

Best regards,
Hsbc Security Team"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_16.png,"Dear Sherri Quinn,

Unusual login attempt detected: Your account was accessed from a new location. Verify your identity to proceed.

Thank you,
Hsbc Customer Service"
Hsbc,2007,http://www.hsbc.co.uk/1/2/HSBCINTEGRATION/CAM10?IDV_URL=hsbc.MyHSBC_pib,hsbc_17.png,"Dear Brandon French,

Thank you for your purchase! Access your Hsbc account to view your receipt.

Best regards,
Hsbc Security Team"
